epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5035.43,1.36845,1.55748,0.00818,0.61898,0.44643,0.45744,0.32674,1.38222,1.37079,0.01437,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5174.47,1.36995,1.54358,0.00813,0.65285,0.42256,0.4545,0.32388,1.3768,1.37506,0.01436,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5313.48,1.36259,1.53367,0.00807,0.6653,0.4161,0.45682,0.32984,1.37577,1.35415,0.0143,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5456.52,1.35277,1.5104,0.00805,0.66545,0.42651,0.46884,0.33102,1.36691,1.34288,0.01412,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5599.86,1.35313,1.51862,0.00808,0.64944,0.43142,0.46351,0.32894,1.36324,1.34496,0.01402,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5762.01,1.34999,1.51173,0.00805,0.63565,0.441,0.46264,0.33084,1.36471,1.32781,0.01408,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5947.98,1.34292,1.50347,0.00798,0.6285,0.48567,0.47579,0.34179,1.36818,1.30805,0.01412,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6142.12,1.34521,1.5008,0.00792,0.63253,0.46166,0.47985,0.34396,1.36595,1.31584,0.01418,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6340.96,1.33473,1.49027,0.00795,0.6465,0.46211,0.48145,0.34609,1.35736,1.30948,0.01397,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6526.61,1.33551,1.47473,0.0079,0.60864,0.48153,0.47988,0.34477,1.35438,1.29214,0.014,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6721.39,1.33629,1.46997,0.00782,0.64038,0.45793,0.48073,0.3434,1.3492,1.2921,0.01393,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6909.33,1.33576,1.47077,0.00785,0.62881,0.46584,0.4817,0.34295,1.34921,1.2776,0.01398,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7100.11,1.33435,1.4488,0.00783,0.63481,0.46061,0.48497,0.34726,1.354,1.27205,0.014,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7286.37,1.3241,1.44909,0.00777,0.62396,0.47619,0.48923,0.34843,1.35029,1.26561,0.01388,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7491.12,1.31227,1.42168,0.00769,0.60448,0.4723,0.48771,0.34772,1.33986,1.27125,0.01375,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7675.96,1.32184,1.4395,0.00773,0.6242,0.46356,0.48994,0.35058,1.33628,1.24977,0.01365,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7850.11,1.31563,1.42347,0.00772,0.66183,0.44965,0.49065,0.34913,1.33443,1.25006,0.0136,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8015.47,1.30732,1.41782,0.00765,0.61277,0.46365,0.48902,0.35034,1.34023,1.25311,0.0137,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8198.67,1.30024,1.40968,0.00761,0.61614,0.46829,0.49273,0.3563,1.33407,1.24894,0.01361,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8393.21,1.30591,1.40393,0.00759,0.63136,0.47333,0.49394,0.3599,1.3381,1.24316,0.01374,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8576.69,1.30092,1.3955,0.00757,0.66363,0.45989,0.50382,0.36269,1.34007,1.23304,0.01373,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8742.32,1.29819,1.40382,0.00766,0.62681,0.47928,0.50019,0.36109,1.33728,1.23085,0.01374,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8925.8,1.29779,1.38551,0.00755,0.65147,0.45802,0.50322,0.3632,1.33218,1.23143,0.01366,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9077.24,1.29521,1.38378,0.00757,0.66966,0.4545,0.49802,0.35898,1.33158,1.22949,0.01368,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9217.68,1.29799,1.37165,0.00746,0.65752,0.46646,0.50496,0.36416,1.32739,1.23516,0.0136,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9390.03,1.28192,1.35926,0.00747,0.67104,0.46561,0.50126,0.36456,1.3271,1.2336,0.01356,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9547.18,1.28583,1.36249,0.0074,0.68237,0.46486,0.49638,0.36135,1.32499,1.22839,0.01351,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9711.65,1.27033,1.34308,0.00738,0.6495,0.49078,0.50045,0.3642,1.32612,1.22238,0.01348,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9894.86,1.269,1.33957,0.00734,0.65854,0.48895,0.4988,0.36306,1.32519,1.21673,0.01352,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10086.2,1.26801,1.31902,0.00724,0.70442,0.46456,0.50142,0.36412,1.3227,1.21789,0.01344,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10257.4,1.27166,1.34165,0.00729,0.66668,0.48483,0.50249,0.3656,1.31847,1.22122,0.01339,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10423.1,1.2657,1.33157,0.00732,0.65177,0.50007,0.50335,0.36631,1.31512,1.22112,0.01331,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10605.5,1.25603,1.31266,0.00725,0.71399,0.4641,0.5069,0.36829,1.31611,1.2179,0.01333,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10788.2,1.26239,1.30802,0.00721,0.6498,0.50821,0.50838,0.37127,1.31593,1.21897,0.01338,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11042,1.24934,1.29823,0.00721,0.6541,0.50628,0.5116,0.37305,1.31703,1.21252,0.01344,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11312.1,1.24412,1.29503,0.00715,0.66125,0.50278,0.51827,0.37818,1.31742,1.20953,0.01343,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11603.1,1.23973,1.28356,0.00716,0.65487,0.50714,0.51874,0.37774,1.31745,1.20556,0.01346,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11867.6,1.24273,1.28338,0.00718,0.66882,0.50244,0.52003,0.37827,1.31554,1.20035,0.01344,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12099.1,1.23963,1.27157,0.00707,0.66984,0.49848,0.51878,0.37848,1.31345,1.20439,0.01342,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12378.3,1.23746,1.25438,0.00702,0.66667,0.50402,0.52146,0.38035,1.31297,1.20308,0.01345,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12666.7,1.23318,1.26338,0.00706,0.68051,0.504,0.51855,0.37737,1.3127,1.20091,0.01343,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12913.6,1.23046,1.25624,0.00698,0.66862,0.50396,0.51799,0.37757,1.31359,1.19763,0.01343,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13166,1.22386,1.25665,0.00701,0.67028,0.50202,0.52032,0.37981,1.31378,1.19291,0.01343,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
